0         9900    0     100     0     10000    0
1         1947    49     80     7924     10000    7
2         1901    86     77     7937     10001    5
3         1859    113     78     7951     10001    3
4         1815    138     79     7971     10003    3
5         1776    159     76     7992     10003    5
6         1728    191     77     8006     10002    3
7         1682    210     87     8024     10003    5
8         1626    241     94     8041     10002    5
9         1584    259     101     8058     10002    3
10         1527    286     115     8073     10001    3
11         1466    311     128     8097     10002    5
12         1409    330     138     8125     10002    3
13         1359    345     142     8157     10003    3
14         1300    365     156     8184     10005    7
15         1231    390     167     8217     10005    3
16         1170    400     186     8250     10006    7
17         1105    409     207     8285     10006    3
18         1028    442     212     8324     10006    7
19         950    470     206     8380     10006    3
20         881    492     216     8419     10008    5
21         814    502     229     8463     10008    5
22         740    512     246     8510     10008    3
23         684    501     263     8560     10008    5
24         631    489     273     8615     10008    3
25         574    485     284     8665     10008    7
26         524    467     302     8714     10007    5
27         484    453     303     8767     10007    7
28         425    469     288     8827     10009    3
29         385    447     296     8881     10009    5
30         349    435     293     8932     10009    5
31         326    401     281     9002     10010    5
32         302    377     273     9055     10007    5
33         283    363     252     9110     10008    7
34         265    336     235     9173     10009    7
35         247    320     215     9228     10010    5
36         229    303     211     9268     10011    3
37         209    282     210     9310     10011    7
38         196    262     212     9341     10011    5
39         180    238     203     9390     10011    7
40         169    217     196     9429     10011    7
41         159    202     190     9460     10011    5
42         149    185     176     9500     10010    7
43         138    178     168     9526     10010    3
44         134    162     147     9568     10011    7
45         131    144     137     9599     10011    5
46         126    130     130     9625     10011    7
47         123    118     121     9649     10011    5
48         119    108     109     9674     10010    7
49         117    100     102     9691     10010    5
50         113    96     84     9716     10009    5
51         112    88     69     9740     10009    7
52         112    77     66     9754     10009    7
53         108    72     58     9771     10009    7
54         104    68     51     9785     10008    7
55         103    59     43     9803     10008    7
56         102    55     42     9809     10008    5
57         100    52     37     9819     10008    7
58         100    46     32     9830     10008    7
59         98    41     32     9837     10008    7
60         98    36     31     9843     10008    5
61         98    35     28     9847     10008    7
62         96    32     27     9853     10008    5
63         95    32     23     9858     10008    7
64         94    31     17     9866     10008    7
65         93    27     18     9870     10008    5
66         92    25     17     9874     10008    7
67         90    25     15     9878     10008    3
68         90    24     14     9880     10008    7
69         90    20     15     9883     10008    5
70         91    14     19     9885     10009    5
71         92    14     15     9889     10010    7
72         92    11     16     9891     10010    5
73         90    12     15     9892     10009    3
74         91    10     13     9896     10010    7
75         91    9     12     9898     10010    7
76         91    9     9     9900     10009    7
77         91    10     8     9900     10009    7
78         91    9     8     9901     10009    7
79         91    9     6     9904     10010    3
80         92    8     3     9908     10011    7
81         91    9     2     9909     10011    7
82         93    9     2     9908     10012    8
83         94    8     3     9907     10012    1
84         96    8     2     9908     10014    1
85         97    6     2     9909     10014    5
86         97    4     4     9909     10014    5
87         97    4     1     9911     10013    8
88         99    4     1     9910     10014    1
89         100    3     1     9910     10014    1
90         100    2     2     9910     10014    5
91         100    1     3     9910     10014    5
92         100    1     3     9909     10013    8
93         100    0     4     9909     10013    5
94         100    0     3     9910     10013    7
95         99    1     3     9910     10013    3
96         99    1     3     9909     10012    8
97         100    1     3     9909     10013    1
98         101    1     3     9909     10014    1
99         102    1     3     9909     10015    1
100         102    1     2     9908     10013    8
101         102    0     1     9909     10012    5
102         103    0     1     9909     10013    1
103         104    0     1     9909     10014    1
104         104    0     1     9908     10013    8
105         105    0     1     9908     10014    1
106         104    1     1     9908     10014    3
107         105    1     1     9908     10015    1
108         105    1     0     9909     10015    7
109         106    1     0     9909     10016    1
110         107    1     0     9909     10017    1
111         107    1     0     9908     10016    8
112         108    1     0     9907     10016    8
113         108    1     0     9905     10014    8
114         108    1     0     9904     10013    8
115         109    1     0     9904     10014    1
116         110    1     0     9904     10015    1
117         111    1     0     9904     10016    1
118         111    0     1     9904     10016    5
119         112    0     1     9904     10017    1
120         113    0     1     9904     10018    1
121         113    0     1     9903     10017    8
